GEO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AL01,0,0,0,0,0,0,0,0,0,0,0,0,861058,853084,844921,836448,830981,826904,819793
AL02,0,0,0,0,0,0,0,0,0,0,0,0,1083768,1097258,1111160,1124817,1130587,1146183,1162544
AL03,0,0,0,0,0,0,0,0,0,0,0,0,958182,947428,936313,924531,914024,903504,887987
AT11,276226,275956,276673,276542,276792,278032,279127,280062,280977,282777,283697,284581,285782,286691,287416,288356,291011,291942,292675
AT12,1535083,1539416,1544667,1549269,1557291,1568949,1580501,1588567,1595503,1602958,1605897,1609474,1614455,1618592,1625485,1636778,1653691,1665753,1670668
AT13,1548537,1553956,1571123,1592846,1610410,1632569,1652449,1661246,1671221,1680135,1689995,1702855,1717084,1741246,1766746,1797337,1840226,1867582,1888776
AT21,560696,559571,559933,558623,558026,558926,559277,559393,559715,559462,557998,556718,556027,555473,555881,557641,560482,561077,560898
AT22,1182930,1182441,1188117,1189315,1192168,1196780,1200854,1202483,1203701,1204795,1205045,1206611,1208696,1210971,1215246,1221570,1232012,1237298,1240214
AT31,1370035,1373134,1377802,1382532,1387488,1394726,1400287,1403663,1405762,1408619,1409253,1410222,1413866,1418498,1425422,1437251,1453948,1465045,1473576
AT32,512854,514851,517050,517084,519691,522369,524920,526048,525944,526699,526730,527886,529704,531898,534270,538575,545815,549263,552579
AT33,667459,671492,675701,679457,683639,688954,694253,697253,699588,702502,704662,707517,711581,715888,722038,728826,739139,746153,751140
AT34,348366,350129,352574,354605,357068,360054,362630,364269,365578,367056,368366,369300,370926,372603,375282,378592,384147,388752,391741
BE10,959318,964405,978384,992041,999899,1006749,1018804,1031215,1048491,1068532,1089538,1136778,1151317,1165208,1172751,1184101,1201285,1199095,1205492
BE21,1643972,1645652,1652450,1661119,1668812,1676858,1688493,1700570,1715707,1731174,1744862,1773267,1787490,1798605,1806634,1817033,1828927,1838863,1849523
BE22,791178,794785,798583,802528,805786,809942,814658,820272,826690,833160,838505,846851,851558,855213,857844,861380,866970,869664,872739
BE23,1361623,1363672,1366652,1370136,1373720,1380072,1389450,1398253,1408484,1420415,1432326,1448928,1457428,1463614,1471126,1479049,1489084,1498483,1506232
BE24,1014704,1018403,1022821,1027839,1031904,1037786,1044133,1052467,1060232,1068838,1076924,1088692,1096284,1102907,1108408,1114590,1122600,1130644,1138546
BE25,1128774,1130040,1132275,1133931,1135802,1138503,1141866,1145878,1150487,1155290,1159366,1168002,1172795,1175903,1177935,1180957,1184418,1188407,1192254
BE31,349884,352018,355207,358012,360717,363776,366481,370460,373492,375645,379515,383648,386683,389308,391609,394344,397745,399735,401508
BE32,1279467,1279823,1281042,1281706,1283200,1286275,1290079,1294844,1300097,1304436,1309880,1319745,1325819,1331455,1334423,1337780,1341267,1342053,1343756
BE33,1019442,1020042,1024130,1025842,1029605,1034024,1040297,1047414,1053722,1060035,1067685,1082136,1088074,1093191,1095661,1098903,1103490,1106039,1108371
BE34,246820,248750,250406,252295,254120,256004,258547,261178,264084,266950,269023,273205,275713,277690,278219,280261,283257,284617,285010
BE35,443903,445824,447775,450395,452856,455863,458574,461983,465380,468605,472281,479386,482728,484880,486230,488876,492074,494127,495158
BG31,1081257,1067180,1015303,993778,973553,954395,934755,916308,898371,881573,865332,848230,836601,823469,810401,797142,783909,769623,755956
BG32,1047670,1040117,982500,966969,952025,938073,923643,909962,897075,884857,873801,862120,853468,844511,835813,825536,815441,805441,794998
BG33,1026019,1017848,1013873,1007579,1001647,996533,991217,986125,981143,976062,971932,966328,961965,957460,954536,949957,944458,939262,933705
BG34,1209686,1203369,1157711,1147097,1137028,1128102,1119050,1110344,1102099,1094253,1087181,1078597,1072850,1067981,1063690,1058515,1052575,1046125,1039549
BG41,2142700,2143110,2107264,2113323,2118410,2122105,2124449,2126182,2127498,2129855,2132634,2133731,2131233,2128783,2127618,2125212,2121185,2115344,2108394
BG42,1683544,1677844,1592164,1576760,1562484,1549365,1536257,1523752,1511816,1500519,1490886,1480425,1471107,1462348,1453619,1445836,1436216,1426064,1417432
CH01,1294974,1305284,1317017,1331131,1348106,1362754,1376306,1389988,1408796,1437592,1462210,1483680,1503500,1519189,1545817,1570594,1593839,1613522,1629841
CH02,1656109,1658575,1667070,1675111,1681531,1690135,1696509,1703966,1715800,1730412,1741923,1755696,1770429,1788791,1808480,1826251,1842251,1859557,1868886
CH03,987699,992009,997850,1005450,1011729,1017180,1021034,1026801,1035934,1049518,1060753,1070820,1079913,1091302,1104353,1117158,1128723,1142156,1151919
CH04,1198569,1211647,1226931,1241312,1249893,1261810,1272590,1284052,1307567,1332727,1351297,1373068,1392396,1408575,1425538,1446354,1466424,1487969,1504346
CH05,1041863,1043836,1045895,1051164,1056524,1059586,1061852,1065253,1073904,1085698,1094202,1103641,1113929,1123672,1134781,1144572,1153485,1162684,1169358
CH06,676732,682489,688362,694429,699050,703706,708561,713828,722913,733173,739701,749476,757552,765879,774123,782374,790458,799287,806071
CH07,308498,310215,312528,315256,317315,319931,322276,324851,328580,332736,335720,333753,336943,341652,346539,350363,351946,354375,353709
CY00,690497,697549,705539,713720,722893,733067,744013,757916,776333,796930,819140,839751,862011,865878,858000,847008,848319,854802,864236
CZ01,1186855,1170476,1157876,1157443,1158738,1161334,1169892,1173933,1195521,1214300,1227932,1234037,1241664,1246780,1243201,1259079,1267449,1280508,1294513
CZ02,1111354,1121591,1123895,1128603,1135690,1143925,1157881,1174964,1201524,1230405,1247330,1264986,1279345,1291816,1302336,1315299,1326876,1338982,1352795
CZ03,1177982,1176097,1173715,1173537,1174257,1173457,1176931,1181719,1191156,1202477,1205834,1207027,1207847,1209298,1210176,1212423,1214450,1217411,1221012
CZ04,1131974,1124813,1122089,1121734,1121756,1122142,1121590,1120755,1130335,1134887,1133425,1132252,1131191,1128490,1125429,1123265,1120654,1118126,1116766
CZ05,1489407,1487400,1483483,1481433,1479468,1478378,1481215,1485575,1494631,1503865,1506467,1508735,1508867,1507980,1506503,1506813,1507209,1508527,1510726
CZ06,1658761,1647278,1643202,1640225,1641297,1642020,1643258,1646898,1657593,1666778,1671993,1675872,1678250,1679857,1680287,1682748,1684500,1687764,1692123
CZ07,1240355,1239089,1236388,1233376,1231188,1228319,1227045,1227080,1229618,1230437,1229931,1229117,1227668,1225302,1222655,1220972,1219394,1217623,1216234
CZ08,1281410,1265283,1260534,1256298,1252953,1249280,1245765,1243309,1243044,1242634,1239176,1234705,1230613,1226602,1221832,1217676,1213311,1209879,1205886
DE11,3917305,3935352,3964162,3985000,3994612,4003172,4007373,4005380,4007095,4006313,4000848,3910637,3924922,3947568,3972881,4008288,4069533,4098278,4126688
DE11A,184819,185728,186967,188229,188563,189041,189580,189346,189288,189158,188694,186366,186427,186928,187682,188974,191614,192958,194203
DE11B,137135,137057,137508,137284,137474,137736,137259,136296,135387,134939,134211,130764,130431,129842,129857,130299,132181,132274,132189
DE11C,136890,136976,137055,136957,136337,135737,135174,134164,133449,132773,131854,128030,127691,127608,127947,128894,130527,131498,132006
DE11D,313318,314198,315345,316495,316812,317056,316760,315661,314624,313576,312129,306705,306425,306484,306933,308205,312650,311587,312422
DE12,2676257,2684425,2701376,2716682,2722550,2727733,2732455,2734260,2739274,2740164,2740503,2663588,2671524,2686573,2702831,2721266,2761977,2779314,2795783
DE12A,158294,158959,160115,161249,161524,161530,161069,160341,159644,158702,158055,151304,150990,150709,151461,152766,155359,155960,157424
DE12B,191590,192852,193873,194839,195379,196083,196417,196159,195457,195315,194554,191473,191461,192092,192811,193728,196066,197246,198369
DE12C,121063,120848,121682,122275,122369,122407,122579,122275,121865,121272,120637,116405,115220,115055,114793,115147,116233,116692,117456
DE13,2125364,2137625,2156851,2170481,2178813,2185027,2190727,2193178,2196410,2195681,2196018,2142723,2150906,2162340,2174500,2191622,2224535,2239734,2254674
DE13A,164968,164944,166114,166864,167057,167266,167274,167168,167200,166863,166384,163203,163141,163699,164265,165211,167861,168852,170198
DE14,1757006,1767013,1778517,1789157,1796581,1801487,1805146,1805935,1806976,1807348,1807552,1761557,1765089,1772630,1781066,1795468,1823573,1834567,1846280
DE21,4033643,4083077,4138402,4169657,4195673,4211118,4238195,4279112,4313446,4335137,4346465,4313946,4363176,4415649,4469342,4519979,4588944,4633323,4649534
DE21A,113460,115939,117949,119216,120568,122123,123094,123703,124876,125544,126370,125378,126676,128289,130238,131839,133747,135429,136884
DE21B,149712,152307,155396,157161,158140,159367,160655,162452,164692,165582,165483,162336,164232,166286,169010,170357,173225,175803,177997
DE21C,190995,193092,195869,197392,197995,198901,199783,200362,201148,201845,203129,200842,203029,205194,208272,210278,213481,216857,217831
DE21D,86217,86577,87408,87709,87441,87013,87351,86923,86872,86478,86305,83943,84234,84710,85443,85931,87385,87877,88155
DE21E,104233,105939,107609,109025,110303,111281,112080,112283,113311,113739,114134,112923,113539,114223,114926,116118,117657,118725,119141
DE21F,90669,91654,92720,93350,93688,93942,94970,95045,95267,95241,95484,93548,93971,94759,96049,96773,98286,98828,99189
DE21G,107907,108480,109733,110570,110840,110940,110930,110623,110536,110248,110258,106367,106803,107363,109227,110296,112034,113222,114486
DE21H,289702,295247,299883,302750,303604,306182,309080,311493,315462,317543,319573,315767,320855,325744,329981,332800,340003,343405,346433
DE21I,88580,89215,90224,90810,91084,91254,91181,90945,91067,91190,91258,90473,90973,91783,92700,93505,94654,95759,96164
DE21J,110423,111669,113111,113881,114489,115382,115809,116014,116407,116725,116991,116027,116973,118349,119987,121594,124128,125085,126244
DE21K,233478,236480,240106,242729,243714,245132,247057,246828,248047,248268,248819,243847,245264,247133,249810,251850,256074,257466,259449
DE21L,123045,124956,126588,127478,127723,128283,129091,128789,129515,129861,130010,126797,128111,129530,130811,131873,133621,134732,135545
DE21M,166672,167646,168827,169600,170264,170449,170906,170440,170546,170594,170614,168436,168827,169464,170364,171978,174162,175431,176290
DE21N,125646,127018,128543,129667,130253,130632,131034,130777,131317,130926,130863,128673,129060,129568,130387,131190,132906,133859,134252
DE22,1170170,1176206,1185467,1191476,1194472,1196178,1196923,1193820,1194138,1191910,1189194,1172475,1175923,1181472,1189153,1197558,1212119,1219397,1230037
DE22A,117612,118167,119107,119416,119729,119727,119598,118944,118800,118622,118157,116731,116849,117437,117654,118164,119218,119617,120371
DE22B,94520,95242,96035,96902,97485,97848,97797,97734,97810,97702,97631,95808,96140,96667,97323,97967,98806,99221,99838
DE22C,90137,90562,91218,91907,92092,92081,91906,91644,91481,91116,90673,90055,90567,91267,92565,93450,94104,95035,95831
DE23,1074338,1079217,1085609,1088929,1089826,1090289,1089543,1087939,1086684,1083780,1081417,1071424,1072091,1074738,1077991,1082761,1092339,1098378,1104407
DE23A,80421,79993,79804,79359,78875,78399,77729,77089,76549,75953,75337,75057,74483,73923,73457,73250,73314,72918,72730
DE24,1114155,1113251,1113788,1112655,1109674,1106541,1101390,1094525,1088845,1082516,1076400,1065322,1061573,1058711,1056365,1055955,1059358,1062394,1066840
DE24A,75905,75591,75458,75038,74582,74275,73678,72909,72289,71609,70941,70149,69599,69095,68484,67998,67916,67613,67474
DE24B,78815,78825,78674,78266,77940,77556,77141,76641,76153,75593,74967,74257,73710,73211,72898,72541,72468,71993,72012
DE24C,70910,70840,70874,70984,70640,70350,70057,69519,69045,68617,68286,67361,67245,67109,66644,66540,66655,66640,66777
DE24D,86754,86044,85278,84391,83365,82627,81631,80505,79433,78439,77486,76459,75441,74599,73783,73403,73185,73260,73485
DE25,1683282,1689066,1698343,1703869,1706615,1708972,1712275,1712622,1714123,1712405,1710145,1679849,1688414,1698515,1707376,1715195,1738686,1750059,1759643
DE25A,98201,98671,99156,99618,99768,100033,99979,99490,99106,98509,98044,97565,97518,97409,97482,97808,98751,99332,99641
DE25B,123496,124187,124963,125280,125722,125757,125708,125306,125240,124811,124329,123326,123120,123168,123431,123890,125140,125563,126101
DE25C,94990,95109,95176,95349,95227,95054,94660,94163,93711,93009,92586,92568,92182,92187,92331,92518,93342,93974,94208
DE26,1333803,1335991,1340912,1344300,1344740,1344629,1341481,1337876,1334767,1327497,1321957,1302144,1299076,1297727,1297992,1298849,1306048,1309209,1313375
DE26A,132014,132012,132206,132393,132090,131770,131218,130678,130148,129439,128637,127695,127154,126496,126295,125915,126123,126301,126523
DE26B,116290,116569,116874,116868,116653,116380,115924,115173,114657,114039,113425,113146,112991,112857,113007,113747,114813,114823,115105
DE26C,158655,158919,159311,159845,159836,160080,159978,160222,160761,160273,159963,158128,158128,158026,158580,159253,160427,161041,161340
DE27,1745576,1753447,1767193,1776465,1782386,1786166,1788919,1786764,1788329,1786483,1784753,1778244,1783119,1792759,1806025,1821271,1846020,1857991,1873368
DE27A,76815,77106,77850,78240,78643,78900,79467,79733,80139,80027,79858,78312,78455,78641,78939,79387,80429,80961,81148
DE27B,130650,131546,132389,133196,133782,134206,134766,134551,134462,134112,134070,133433,133607,134118,134771,135894,137709,138265,139278
DE27C,132773,133709,134920,135300,135804,135858,135708,135699,135898,135569,135286,135150,135597,136383,137484,138712,140419,141165,142544
DE27D,129085,129865,130335,130833,131222,131141,130969,130321,130035,129550,129181,127900,128072,128939,129422,130203,131345,132298,133043
DE27E,146719,147405,148315,148953,149474,149959,150507,150396,150690,150486,150153,148657,148691,149457,150478,150981,152672,153759,154568
DE30,3386667,3382169,3388434,3392425,3388477,3387828,3395189,3404037,3416255,3431675,3442675,3278346,3326002,3375222,3421829,3469849,3520031,3574830,3613495
DE40,2601207,2601962,2593040,2582379,2574521,2567704,2559483,2547772,2535737,2522493,2511525,2461242,2453180,2449511,2449193,2457872,2484826,2494648,2504040
DE40A,189191,192123,194022,195399,197055,198550,200184,201289,201945,202231,202776,200883,201199,202162,203012,204898,207524,208639,209893
DE40B,148124,145110,141959,139062,136251,134025,132032,129581,127278,125216,123426,118506,116898,115212,113842,112896,112450,111962,111122
DE40C,196784,196453,195670,194169,193062,192001,190728,189185,188035,186542,185062,178780,177764,177047,176850,177823,182397,178849,178347
DE40D,114273,112930,111878,111009,110057,108893,108027,106830,105812,104786,103734,100588,99753,99125,98944,98886,99110,99414,99368
DE40E,193086,196644,198690,200313,201335,202630,203477,204007,204510,204277,204594,202837,203391,204388,205520,207498,210910,212207,213214
DE40F,97076,95701,94015,92646,91214,89792,88340,87221,85705,84284,83086,80744,79574,78799,77993,77550,77573,77813,77263
DE40G,150171,148700,145929,143642,141256,139464,136896,135017,132798,130626,128470,123266,121571,120178,118899,118030,117635,116826,115456
DE40H,158326,159735,160414,160708,161146,161400,161902,162383,162320,162073,161847,159376,159511,159686,160448,161488,163553,164771,166890
DE40I,154086,151740,148606,145715,143411,141454,139326,137209,134958,132837,131115,125274,123731,122484,121326,120829,121014,120878,120349
