GEO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AL0,0,0,3057018,3044993,3034231,3019634,3003329,2981755,2958266,2936355,2918674,2907361,2903008,2897770,2892394,2885796,2875592,2876591,2870324
AT1,3359846,3369328,3392463,3418657,3444493,3479550,3512077,3529875,3547701,3565870,3579589,3596910,3617321,3646529,3679647,3722471,3784928,3825277,3852119
AT2,1743626,1742012,1748050,1747938,1750194,1755706,1760131,1761876,1763416,1764257,1763043,1763329,1764723,1766444,1771127,1779211,1792494,1798375,1801112
AT3,2898714,2909606,2923127,2933678,2947886,2966103,2982090,2991233,2996872,3004876,3009011,3014925,3026077,3038887,3057012,3083244,3123049,3149213,3169036
BE1,959318,964405,978384,992041,999899,1006749,1018804,1031215,1048491,1068532,1089538,1136778,1151317,1165208,1172751,1184101,1201285,1199095,1205492
BE2,5940251,5952552,5972781,5995553,6016024,6043161,6078600,6117440,6161600,6208877,6251983,6325740,6365555,6396242,6421947,6453009,6491999,6526061,6559294
BE3,3339516,3346457,3358560,3368250,3380498,3395942,3413978,3435879,3456775,3475671,3498384,3538120,3559017,3576524,3586142,3600164,3617833,3626571,3633803
BG3,4364632,4328514,4169387,4115423,4064253,4017103,3968665,3922739,3878688,3836745,3798246,3755275,3724884,3693421,3664440,3631150,3596383,3560451,3524208
BG4,3826244,3820954,3699428,3690083,3680894,3671470,3660706,3649934,3639314,3630374,3623520,3614156,3602340,3591131,3581237,3571048,3557401,3541408,3525826
CH0,7164444,7204055,7255653,7313853,7364148,7415102,7459128,7508739,7593494,7701856,7785806,7870134,7954662,8039060,8139631,8237666,8327126,8419550,8484130
CY0,690497,697549,705539,713720,722893,733067,744013,757916,776333,796930,819140,839751,862011,865878,858000,847008,848319,854802,864236
CZ0,10278098,10232027,10201182,10192649,10195347,10198855,10223577,10254233,10343422,10425783,10462088,10486731,10505445,10516125,10512419,10538275,10553843,10578820,10610055
DE1,10475932,10524415,10600906,10661320,10692556,10717419,10735701,10738753,10749755,10749506,10744921,10478505,10512441,10569111,10631278,10716644,10879618,10951893,11023425
DE2,12154967,12230255,12329714,12387351,12423386,12443893,12468726,12492658,12520332,12519728,12510331,12383404,12443372,12519571,12604244,12691568,12843514,12930751,12997204
DE3,3386667,3382169,3388434,3392425,3388477,3387828,3395189,3404037,3416255,3431675,3442675,3278346,3326002,3375222,3421829,3469849,3520031,3574830,3613495
DE4,2601207,2601962,2593040,2582379,2574521,2567704,2559483,2547772,2535737,2522493,2511525,2461242,2453180,2449511,2449193,2457872,2484826,2494648,2504040
DE5,663065,660225,659651,662098,663129,663213,663467,663979,663082,661866,661716,651467,652182,654774,657391,661888,671489,678753,681032
DE6,1704735,1715392,1726363,1728806,1734083,1734830,1743627,1754182,1770629,1772100,1774224,1705700,1718187,1734272,1746342,1762791,1787408,1810438,1830584
DE7,6051966,6068129,6077826,6091618,6089428,6097765,6092354,6075359,6072555,6064953,6061951,5969408,5993771,6016481,6045425,6093888,6176172,6213088,6243262
DE8,1789322,1775703,1759877,1744624,1732226,1719653,1707266,1693754,1679682,1664356,1651216,1614789,1606899,1600327,1596505,1599138,1612362,1610674,1611119
DE9,7898760,7926193,7956416,7980472,7993415,8000909,7993946,7982685,7971684,7947244,7928815,7778828,7774253,7778995,7790559,7826739,7926599,7945685,7962775
DEA1,5264468,5254317,5255328,5249280,5245132,5237855,5226648,5217129,5208288,5191042,5172839,5081231,5077103,5081061,5088748,5108290,5173623,5190790,5198820
DEA1A,368993,366434,364784,363522,362137,361077,359237,358330,356420,353308,351050,342771,342570,342885,343488,345425,350046,352390,353590
DEA1B,297608,299362,301861,304176,305599,306850,307703,308331,308928,308448,308090,300881,301171,301977,302698,304963,310337,310329,311270
DEA1C,506649,507699,509023,508703,507164,506061,504972,503492,502045,499193,496445,478366,477919,477397,476633,477760,483279,484770,485409
DEA1D,443071,443865,445683,446493,446308,446305,445255,444700,444515,443608,443112,437078,437732,439225,440602,442522,450026,447431,449408
DEA1E,299199,300842,302795,303984,303943,304344,304140,303506,303331,302689,301797,296497,295982,295448,294921,295067,297661,298422,298733
DEA1F,473367,474390,476240,477906,477481,477164,476428,475433,474045,472175,470364,461015,459740,458329,457033,457244,462664,461715,460666
DEA2,4263675,4281548,4309953,4331419,4350368,4363797,4378622,4384669,4391062,4386271,4383044,4282911,4299064,4315912,4333015,4361724,4422371,4439416,4454228
DEA2A,286398,288170,289518,290055,290308,290614,289836,288405,286801,284890,282636,273517,272287,271332,270290,270618,273452,273139,272968
DEA2B,275712,275474,276525,278086,278770,279397,279092,278658,278345,277635,277214,278518,277816,277997,278440,279497,282729,283304,283344
DEA2C,572637,576993,583051,588896,593414,596565,597857,598805,599042,598225,598407,577859,579594,580588,582280,585781,596213,597854,599056
DEA2D,0,0,0,0,0,0,0,0,0,0,0,540342,541521,542833,545067,547661,553922,552472,554068
DEA3,2608779,2612301,2620240,2625637,2625745,2624489,2622623,2619372,2614361,2605365,2597636,2568358,2572221,2572390,2574148,2580664,2614229,2619376,2621153
DEA4,2048620,2055795,2063244,2069290,2071803,2072488,2069758,2065413,2059198,2050638,2043212,2031337,2027126,2025415,2024392,2029648,2057996,2054205,2054343
DEA5,3814258,3805904,3803327,3800729,3786638,3776723,3760454,3742162,3723712,3699748,3676032,3581355,3569424,3559551,3551553,3557772,3597297,3586313,3583590
DEA5A,297207,296256,295787,295405,294420,292869,291372,289826,288441,286299,284405,277281,276227,275594,274904,275909,280800,277933,277977
DEA5B,306131,306377,307809,308943,308831,309013,308856,307790,307159,306131,305097,297049,296540,296029,294971,296742,302995,301655,301693
DEA5C,430207,431740,430269,429832,427219,426345,423830,421464,419353,416679,414056,397093,394873,392940,391622,391774,396035,393869,393934
DEB1,1516237,1519561,1524695,1527611,1527919,1527507,1521494,1513939,1507919,1499457,1490711,1486160,1480166,1476237,1474378,1477202,1488308,1492187,1493055
DEB1A,128953,129082,129608,129684,129486,129022,128095,127218,126258,125477,124474,123526,122609,121838,121375,121487,123543,122553,122381
DEB1B,201435,201840,202714,203154,203636,203925,203541,202657,201938,200779,199480,200552,199691,198852,198704,199131,200302,201027,201039
DEB1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63202,62041,62391,61864,61662
DEB1D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100770,101945,102529,103026,102938
DEB2,511548,511754,512990,513702,513755,513861,513363,515819,515972,515322,513794,518554,518370,518289,519136,521863,532715,528728,529597
DEB3,2002988,2003242,2011381,2016414,2017008,2019737,2023986,2023102,2021752,2013572,2008170,1989471,1991497,1995752,2000852,2012517,2031780,2045138,2051027
DEB3A,35646,35719,35799,35846,35521,35499,35219,34842,34719,34525,34109,34306,34161,34064,34084,34011,34260,34428,34270
DEB3B,123113,124183,125303,126103,126772,126814,126328,126058,125697,125244,124758,125242,125109,125173,125213,125998,127274,128197,128519
DEB3C,133517,133815,134303,134726,134818,135061,135116,134628,134341,133576,133052,131232,130920,130927,131041,131530,132203,132960,132739
DEB3D,78258,78401,78740,78942,79215,79317,78825,78320,77877,77350,76571,76200,75822,75508,75192,74962,75230,75203,75102
DEB3E,123003,123362,124380,124669,124852,125348,125268,125425,125822,125603,124982,124062,124294,124889,125434,126266,127303,128205,128477
DEB3F,110142,110103,110207,110145,110029,109637,109202,108364,107875,107192,106149,105661,104910,104443,104117,104288,104966,105504,105649
DEB3G,79184,78685,78530,78111,77667,77184,76541,75809,74876,73987,73306,73199,72458,71766,71098,70883,70997,70899,70764
DEB3H,109028,109375,109694,110276,110524,110938,110639,110211,109957,109625,109133,108437,108300,108752,109026,109735,110526,110885,110622
DEB3I,146479,146986,147396,148060,148270,148718,148902,149187,149202,149084,148733,146751,147341,148079,149068,150051,151546,153043,153629
DEB3J,193066,194156,196072,197739,198824,200112,200486,200938,201451,201410,201583,200605,201264,202222,203338,204514,208749,209184,209785
DEB3K,105728,105378,105271,105168,104730,104018,103309,102512,101596,100508,99605,98739,98008,97180,96599,96410,96474,95957,95474
DEC0,1071501,1068703,1066470,1064988,1061376,1056417,1050293,1043167,1036598,1030324,1022585,1001879,997855,994287,990718,989035,995597,996651,994187
DED2,1724703,1712562,1695745,1683138,1674343,1667676,1662482,1657114,1646716,1638111,1631486,1594568,1591710,1591320,1590927,1592765,1602754,1600155,1598573
